,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
9-Jan,23.5,31.7,2.6,18.6,52.1,21.8,34.2,6.1,48.4,15.6,2.1,22.6,21.6,22.6,1.9,28.4,15.3,31.9,15.3,4.3,8.8,25.4,5.1,29.4,6.9,1.9,16.3,4.9,22.9,5.2,6.6,11.5,9.6,6.2,0.4,3.9,19.3,12.1,11.6,2.1,2.3,41.2,18.5,1.5,2.7,20.6,3.6,1.8,3.1,7.1,3.5,1.2
10-Jan,25.6,34.4,4.3,20.5,54.2,22.7,36.7,6.2,48,17.6,1.9,21,22.6,21.7,1.4,32.5,17.2,31,16.5,4.9,9.6,26.7,6.2,31.7,7,2.7,16.9,4.9,22.7,5.7,8,11.7,9.5,5.7,0.5,3.6,21.4,11.9,14.5,1.8,2.2,42.3,14.9,1.4,2.4,18.4,4,1.8,2.4,6.8,3.1,1.1
11-Jan,25.4,33.8,5.5,22.3,56.5,23.5,39.2,6.2,47.6,19.5,1.5,25.4,23.6,20,2.6,31.2,19.1,30.2,17.8,5.3,10.6,28.3,7.3,33.9,7,3.4,17.4,5.1,22.3,4.9,9.4,11.6,9.9,5.1,0.6,3.8,22.6,16,17.6,1.8,2,38,19.5,1.7,2.8,17.6,6.8,3,2.7,13.4,3,1.2
12-Jan,24.5,33,6.6,24.7,58.5,27.3,41.6,6.3,47.3,25.3,4.5,28.6,24.5,22.1,3.2,29.8,18.2,29.5,19.8,5.7,12.3,29.3,6.9,36.2,7.1,4.1,18,6.3,23.3,4,10.7,11.8,10.2,4.4,0.9,4.1,24.2,17.5,16.5,1.9,2.5,27.8,22.1,3.8,2,16.6,8,5.9,2.1,9.6,3.1,1.5
13-Jan,23.6,32.2,7.7,26.5,61.1,30.1,44.1,6.3,46.8,29.3,6.3,31.6,25.6,23.5,3.9,28.3,17.1,29,21.8,6.8,13.9,32.2,6.5,33.7,7.4,4.9,20.9,7.5,24.3,3.1,12,14.6,10.3,4.5,1.1,3.9,28.4,16.8,16.3,2.6,2.4,19.2,24.9,4.3,2.1,24.4,7.9,6.3,1.9,11.3,2.9,2.4
14-Jan,22.7,31.3,8.8,26.8,62.7,33,46.6,6.4,45.9,33.4,8.2,34.7,26.2,24.9,4.7,26.9,16.8,28,22.8,7.6,14.2,34.9,6.1,31.1,7.6,7,23.7,8.8,25.3,2.2,13.4,17.1,11.8,4.6,1.3,4.1,33.8,16.5,18.4,2.9,2.7,20.8,29,5.9,2.1,29.5,9.6,5.3,2.1,11.7,5.7,3.7
15-Jan,22.5,30.5,10,26.8,64.4,35.8,49,6.4,46.6,37.3,10.1,37.6,26.9,26.3,5.4,25.4,16,28.5,22.6,8.4,14.5,37.8,5.8,28.5,7.9,9.1,26.6,9.1,26.2,2.5,14.8,19.7,13.2,4.7,1.5,4.5,37.9,16.3,19.9,3.6,2.3,24,33.9,6.2,2.2,31.8,9.3,5.2,1.8,14.7,6.4,4.2
16-Jan,21.5,29.8,10.9,26.8,66.2,38.7,49,6.3,46.9,41.4,12,40.9,27.6,27.7,6,24,16.8,28.8,22.5,10.1,14.4,40.6,5.4,30.5,10.3,11.2,24.2,9.4,23.7,2.7,16.2,19.2,14.4,4.8,2.8,5,39.4,14.9,18.8,5.4,2.8,24.2,33.8,6.4,2.6,35.2,8.8,5.8,1.5,15.2,5.7,6.9
17-Jan,20.3,28.3,12.4,26.9,67.9,41.5,48.9,6.9,47,45.4,13.8,43.9,28.4,29,5.6,21.7,17.1,29.3,21.5,11.8,14.3,43.4,5.3,32.4,12.9,11.1,21.9,9.6,21.1,3,18.2,18.9,15.6,5.5,4.1,5.4,41.8,13.8,22,4,3,24.6,23.5,6.4,3.1,32.7,11.3,11.5,1.3,14.3,4,8.8
18-Jan,18.7,27,13.8,26.9,69.6,44.3,48.8,7.3,47.2,49.4,15.7,46.9,29,30.4,8,21.4,17.5,28.9,20.6,12.9,14.2,44,5.1,29.3,15.3,11,19.7,10,18.3,3.7,20,18.4,17.8,6,5.3,8.1,42.4,12.3,22.4,5.8,5.8,29.2,26.9,9.5,4.5,27.2,10.7,9.4,1.8,14.9,3.7,9.5
